ผลิตภัณฑ์ธนาคาร	money พัทยา	Expo หาดใหญ่	Expo กทม. อิมแพค	TSM ขอนแก่น	TSM อุบลราชธานี	TSM พิษณุโลก 	Expo โคราช	TSM สุราษฏร์ธานี	Expo อุดรธานี	TSM เชียงราย 	TSM ระยอง 	Expo เชียงใหม่ 	Expo กทม. ไบเทค 	TSM กทม.	รวม
สินเชื่อ SMEs 	 37 	 33 	 166 	 35 	 24 	 90 	 66 	 14 	 48 	 37 	 18 	 29 	 43 	 10 	 650 
สินเชื่อ SMEs Start Up 	 17 	 43 	 98 	 5 	 33 	 18 	 13 	 11 	 33 	 15 	 16 	 13 	 38 	 13 	 366 
สินเชื่อเคหะ	 735 	 338 	 2,618 	 137 	 196 	 269 	 380 	 147 	 282 	 157 	 383 	 484 	 454 	 55 	 6,635 
สินเชื่อเคหะ (กลุ่มวิชาชีพเฉพาะ, รายได้ประจำ)	 -   	 -   	 -   	 -   	 -   	 -   	 9 	 1 	 2 	 5 	 7 	 15 	 37 	 2 	 78 
สินเชื่อเคหะ Re-Finance	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 10 	 -   	 -   	 -   	 70 	 4 	 84 
สินเชื่อเคหะ Re-Finance วงเงินกู้ 2 ล้านบาทขึ้นไป	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 9 	 12 	 23 	 -   	 -   	 44 
สินเชื่อเคหะกตัญญูดูแลบุพการี	 1 	 1 	 3 	 -   	 -   	 2 	 -   	 -   	 -   	 -   	 10 	 -   	 -   	 -   	 17 
สินเชื่อธนาคารประชาชน	 272 	 31 	 248 	 24 	 848 	 17 	 397 	 11 	 20 	 17 	 323 	 57 	 8 	 4 	 2,277 
สินเชื่อธุรกิจห้องแถว	 21 	 6 	 11 	 8 	 6 	 5 	 28 	 2 	 6 	 -   	 13 	 24 	 2 	 10 	 142 
สินเชื่อ Street Food	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 46 	 -   	 -   	 -   	 46 
สินเชื่อประชาชนสุขใจ	 6 	 -   	 -   	 -   	 -   	 -   	 6 	 -   	 9 	 -   	 -   	 6 	 -   	 -   	 27 
สินเชื่อบ้านแลกเงิน	 3 	 9 	 66 	 5 	 2 	 7 	 21 	 5 	 12 	 16 	 23 	 25 	 14 	 4 	 212 
